# This file contains names of collaborators on the project
# NAME, INSTITUTE, HOMEPAGE
Johannes Jaeger, Fundacio Privada Centre De Regulacio Genomica, http://pasteur.crg.es/portal/page/portal/Internet/02_Research/01_Programmes/06_Systems_Biology/06_CompAnalysisDevSystems
Magnus Rattray, University of Manchester, http://www.ls.manchester.ac.uk/people/profile/?personid=10584
Julio Banga, Agencia Estatal Consejo Superior De Investigaciones Cientificas, http://www.iim.csic.es/~julio/
Julio Saez Rodriguez, European Molecular Biology Laboratory (European Bioinformatics Institute), http://staff.science.uva.nl/~jaapk/
Jaap Kaandorp, Universiteit Van Amsterdam, http://staff.science.uva.nl/~jaapk/
Joke Blom, Stichting Centrum Voor Wiskunde, http://www.cwi.nl/people/601 
Diego di Bernardo, Fondazione Telethon,http://dibernardo.tigem.it/wiki/index.php/Main_Page
Pedro Mendes, The University of Manchester, http://www.manchester.ac.uk/research/Pedro.mendes/
Eric Boix, The Cosmo Company, http://www.thecosmocompany.com/
Klaus Mauch, Insilico Biotechnology, http://www.insilico-biotechnology.com/people
Jean-Marie Mouillon, Fluxome Sciences A/S, http://www.fluxome.com/company/organization/leadership-team.aspx
